agency_key,agency,subagency,total_cyber_it_obligations,number_of_contracts,expiring_contract_count_6_months,expiring_contract_count_12_months,expiring_contract_count_24_months,expiring_pipeline_value,average_award_size,active_candidate_count,active_pipeline_value,active_tier_1_count
1,DEPARTMENT OF DEFENSE,DEPARTMENT OF THE ARMY,46912724828.09,5980,379,533,764,6845390149.77,7844937.26,172,1015732162.83,13
2,DEPARTMENT OF DEFENSE,DEPARTMENT OF THE NAVY,45578947515.9,9113,598,776,986,6678466520.249999,5001530.51,184,1131092582.68,0
3,DEPARTMENT OF DEFENSE,DEPARTMENT OF THE AIR FORCE,40454549978.85,7715,394,585,854,8206511040.39,5243622.81,181,1241050401.72,2
4,DEPARTMENT OF DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,37356727910.98,4880,279,348,454,5024016581.53,7655067.19,100,1012088053.6,5
5,DEPARTMENT OF DEFENSE,DEFENSE HEALTH AGENCY,13705958219.78,1451,89,124,182,2035507499.65,9445870.59,51,692851558.5,9
6,DEPARTMENT OF DEFENSE,DEFENSE CONTRACT MANAGEMENT AGENCY,13374641732.850002,1389,1,2,11,25841901.83,9628971.73,2,6028944.75,0
7,DEPARTMENT OF DEFENSE,DEFENSE LOGISTICS AGENCY,10134909692.09,2032,196,248,283,2316036584.96,4987652.41,40,716688760.47,1
8,DEPARTMENT OF DEFENSE,MISSILE DEFENSE AGENCY,5931169861.2300005,172,5,6,9,646039521.0300001,34483545.7,1,4204405.34,0
9,DEPARTMENT OF DEFENSE,U.S. SPECIAL OPERATIONS COMMAND,5010344379.139999,924,31,42,55,575034719.6100001,5422450.63,11,97628688.6,0
10,DEPARTMENT OF DEFENSE,WASHINGTON HEADQUARTERS SERVICES,3992226831.6500006,734,40,59,100,725381331.4100001,5439001.13,33,200039005.57999998,2
11,DEPARTMENT OF DEFENSE,USTRANSCOM,2186143240.13,256,22,24,35,395270054.26,8539622.03,2,16135200.5,0
12,DEPARTMENT OF DEFENSE,DEFENSE THREAT REDUCTION AGENCY,1558894087.0000002,157,10,14,26,578937377.35,9929261.7,6,86244086.11,0
13,DEPARTMENT OF DEFENSE,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,1224919907.7800002,156,17,24,31,344592511.06000006,7852050.69,10,130817920.17,0
14,DEPARTMENT OF DEFENSE,DEFENSE FINANCE AND ACCOUNTING SERVICE,1199178330.53,288,14,20,30,212989107.69,4163813.65,9,44145339.61,0
15,DEPARTMENT OF DEFENSE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,832105054.0899999,23,4,4,5,60260795.35,36178480.61,0,0.0,0
16,DEPARTMENT OF DEFENSE,U.S. CYBER COMMAND,739047274.8,154,8,10,20,211170507.56,4799008.28,7,51176103.09,0
17,DEPARTMENT OF DEFENSE,DEFENSE HUMAN RESOURCES ACTIVITY,580953898.8299999,131,6,8,15,73212089.72,4434762.59,3,12614081.54,0
18,DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,444928022.37,135,3,4,12,57173537.75999999,3295763.13,1,6397238.89,0
19,DEPARTMENT OF DEFENSE,DEFENSE MEDIA ACTIVITY,349213342.9,112,6,7,9,85237156.94,3117976.28,3,7498748.12,0
20,DEPARTMENT OF DEFENSE,DEFENSE MICROELECTRONICS ACTIVITY,180113902.74999997,50,3,4,5,19740879.970000003,3602278.05,0,0.0,0
21,DEPARTMENT OF DEFENSE,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES,123254337.54,70,9,10,10,10113837.52,1760776.25,2,1001918.29,0
22,DEPARTMENT OF DEFENSE,DEFENSE COMMISSARY AGENCY,75473494.9,41,1,4,8,7178338.53,1840816.95,2,944642.68,0
